2026-07-04 03:01:53,936 | no-session | INFO     | Runtime.process_manager | Session id generated: b006ba0f3ae24f4f8e8caebe716292de
2026-07-04 03:01:53,936 | no-session | INFO     | Runtime.process_manager | Starting llama.cpp subprocess...
2026-07-04 03:01:53,940 | no-session | INFO     | Runtime.process_manager | Started successfully
2026-07-04 03:02:04,955 | no-session | INFO     | sentence_transformers.SentenceTransformer | Load pretrained SentenceTransformer: all-MiniLM-L6-v2
2026-07-04 03:02:10,061 | no-session | INFO     | chromadb.telemetry.product.posthog | Anonymized telemetry enabled. See                     https://docs.trychroma.com/telemetry for more information.
2026-07-04 03:02:10,290 | no-session | INFO     | VectorDBClient.ChromaClient | 'semantic_memory' ready — 6 memories
2026-07-04 03:02:10,293 | b006ba0f3ae24f4f8e8caebe716292de | INFO     | SessionManager.session_lifecycle | Session b006ba0f3ae24f4f8e8caebe716292de started with semantic context.
2026-07-04 03:05:01,790 | b006ba0f3ae24f4f8e8caebe716292de | WARNING  | MemoryManagement.semantic_memory.semantic_memory | store: DB not available.
2026-07-04 03:05:01,791 | b006ba0f3ae24f4f8e8caebe716292de | INFO     | SessionManager.session_lifecycle | Session b006ba0f3ae24f4f8e8caebe716292de ended — scratchpad promoted and cleared.
2026-07-04 03:05:01,791 | b006ba0f3ae24f4f8e8caebe716292de | INFO     | Runtime.process_manager | Stopping subprocess...
2026-07-04 03:05:02,223 | b006ba0f3ae24f4f8e8caebe716292de | INFO     | Runtime.process_manager | Stopped
